nome,avaliacao,reviews,telefone,endereco,site,nicho,cidade
Clinica Estetica BH,"5,0",,(31) 99386-6785,"R. Maria Macedo, nº 233 - sala: 710",http://clinicaesteticabh.com.br/,clínicas de estética,São Paulo
AC Clínica de Estética,"4,5",,(31) 98846-8884,"R. São Paulo, 1966 - 3° andar",,clínicas de estética,São Paulo
Spa Training - Clínica de Estética,"5,0",,(31) 98754-0960,"R. São Paulo, 1966 - 401",http://www.spatraining.com.br/,clínicas de estética,São Paulo
"Pró Estética Vila Mariana, Ultraformer, Fotona, Tratamento Gordura Localizada, Botox Facial, Lipo Sem Cortes","4,8",,(11) 93369-7973,"R. Estado de Israel, 225",https://proesteticaoficial.com.br/,clínicas de estética,São Paulo
"Clínica Pró Estética Perdizes, Ultraformer MPT, Fotona, Gordura Localizada, Botox Facial, Lipo Sem Cortes, Hipro, Liftera","4,8",,(11) 97444-5843,"Rua Desembargador do Vale, 219",https://proesteticaoficial.com.br/,clínicas de estética,São Paulo
"Clínica Pró Estética Vila Madalena, Ultraformer MPT, Fotona, Tratamento Gordura Localizada, Botox Facial, Lipo Sem Cortes","4,8",,(11) 94078-5377,"R. Wisard, 288 - Sala 234",https://proesteticaoficial.com.br/,clínicas de estética,São Paulo
Clínica de Estética Salomão,"4,9",,(11) 99934-9773,"Av. Paulista, 2006 - 3 Andar Cj. 306",,clínicas de estética,São Paulo
Clínica de Estética - Zarah Flor,"5,0",,(11) 97065-3411,,https://linktr.ee/Zarahflorr,clínicas de estética,São Paulo
Clínica Jessica Leistayo,"4,6",,(11) 93438-4016,"R. Maurício Francisco Klabin, 205",https://jessicaleistayo.com/,clínicas de estética,São Paulo
"Em foco - Estética e Saúde, Av Paulista","4,9",,(11) 98660-9400,,http://www.emfocoestetica.com.br/,clínicas de estética,São Paulo
Estética UP,"4,9",,(11) 5084-5198,"Rua Vergueiro, 2949 - conjunto 152",http://www.esteticaup.com.br/,clínicas de estética,São Paulo
Clínica Clari Saúde Estética - Clinica estética na Vila Olímpia São Paulo,"5,0",,(11) 94478-2518,"R. Pequetita, 179 - CJ 45 / 46",https://clinicaclari.com.br/,clínicas de estética,São Paulo
"Clinic Aesthetica | Harmonização facial e corporal, Fios de sustentação , Preenchimento, Botox, Sculptra, Ultraformer","4,8",,(11) 3257-4391,"Av. Ipiranga, 344 - sala 81D",https://clinicspa.com.br/,clínicas de estética,São Paulo
Clínica Estética Premium,"4,5",,(11) 4380-0840,"Alameda dos Pamaris, 182",http://www.ultraformerjardins.com.br/,clínicas de estética,São Paulo
Palladium Estética Tatuapé,"4,9",,(11) 97676-6277,,http://www.palladiumestetica.com.br/,clínicas de estética,São Paulo
Clínica Tay Akemi Estética,"5,0",,(11) 94530-7204,"Av. Nove de Julho, 3384",https://tayakemiestetica.com/,clínicas de estética,São Paulo
Zahra,"4,5",,(11) 5096-0610,"Av. Cotovia, 261",,clínicas de estética,São Paulo
Clínica de Estética Renata Fontany,"4,9",,(31) 98524-5318,,,clínicas de estética,São Paulo
Xavier Clinic,"5,0",,(11) 91188-7834,"R. Cubatão, 86 - Conj 907",https://www.xavierclinic.com.br/,clínicas de estética,São Paulo
Medibel - Cirurgia Plástica e Estética - Na Avenida Paulista em São Paulo,"4,9",1.460,(11) 3266-4848,"Av. Paulista, 326 - conj. 35 - 3º andar",http://www.medibel.com.br/,clínicas de estética,São Paulo
Val Oliveira Mega Beauty,"4,9",127,(31) 3282-3502,"R. Marechal Hermes, 103",https://www.instagram.com/val.oliveirabeauty?igsh=MW9kaGpzcngwY3FjeA==,clínicas de estética,São Paulo
Clínica de Estética Espaco Bella Forma Fit,"4,9",23,(11) 98190-6047,"R. São Bento, 290 - 6 andar conjunto 5/6",,clínicas de estética,São Paulo
Clínica de Estética Santbeauty,"5,0",108,(11) 95420-5623,"R. Pamplona, 311",http://www.santbeauty.com.br/,clínicas de estética,São Paulo
"Clínica Pró Estética Tatuapé SP, Ultraformer MPT, Fotona, Tratamento Gordura Localizada, Botox Facial, Lipo Sem Cortes","4,7",1.205,(11) 98379-1451,"R. Itapeti, 714 - Centro",https://proesteticaoficial.com.br/,clínicas de estética,São Paulo
Clínica Belle Harmony,"4,8",58,(11) 95020-3000,"R. Augusta, 101 - Sala 315",https://belleharmony.com.br/,clínicas de estética,São Paulo
ZAY DERMATOLOGIA E ESTÉTICA,"5,0",184,(11) 96229-6053,"R. Emílio de Menezes, 76 - sala 33/34",http://www.zayestetica.com.br/,clínicas de estética,São Paulo
"Lux Clinic Saúde, Estética e Bem-Estar","4,7",112,(11) 96079-7342,"R. Bonitos, 53A",http://www.luxclinic.com.br/,clínicas de estética,São Paulo
"Clínica Estetic Lux Parque Mandaqui SP, Depilação à Laser, Criolipólise, Limpeza de Pele, Spa, Drenagem Linfática, Botox","5,0",347,(11) 95251-4824,,https://www.esteticlux.com.br/,clínicas de estética,São Paulo
Clínica de Estética no Centro de São Paulo | Tânia Fidalgo,"4,9",78,(11) 98268-9397,,https://esteticataniafidalgo.com.br/,clínicas de estética,São Paulo
Clínica Oscar Freire - Clínica de Estética,"4,8",166,(11) 95108-4970,"R. Oscar Freire, 530 - 1º Andar",https://clinicaoscarfreire.com.br/home/,clínicas de estética,São Paulo
"Clínica Pró Estética Vila Leopoldina SP, Ultraformer, Fotona, Tratamento Gordura Localizada, Botox Facial, Lipo Sem Cortes","4,8",1.384,(11) 91432-7445,"R. Carlos Weber, 276",https://proesteticaoficial.com.br/,clínicas de estética,São Paulo
Clinica Humanitá - Estética Avançada e Saúde,"4,8",245,(11) 2893-2391,"R. do Estilo Barroco, 103",https://www.clinicahumanita.com.br/,clínicas de estética,São Paulo
Clinica de Estética Madame Face,"5,0",83,(11) 91308-9597,"R. Min. Gabriel de Rezende Passos, 521 - Conj 061",http://www.madameface.com.br/,clínicas de estética,São Paulo
